protocol,table,attribute,definition,type,format_text,unit,id_variable,status
environmental_monitoring,environmental_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
environmental_monitoring,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
environmental_monitoring,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
environmental_monitoring,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
fish_trawls,abundance_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
fish_trawls,abundance_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
fish_trawls,abundance_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
fish_trawls,length_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
fish_trawls,length_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
fish_trawls,length_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
fish_trawls,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
fish_trawls,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
fish_trawls,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
fish_trawls,SampleData,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
fish_trawls,SampleData,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
fish_trawls,SampleData,table_id,The observation's table of origin.,text,NA,NA,NA,retired
fish_trawls,taxa_list,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
fish_trawls,taxa_list,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
fish_trawls,taxa_list,table_id,The observation's table of origin.,text,NA,NA,NA,retired
predation_assay,sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
predation_assay,sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
predation_assay,sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
predation_assay,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
predation_assay,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
predation_assay,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_biomass,sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_biomass,sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_biomass,sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_biomass,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_biomass,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_biomass,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_biomass,taxa_list,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
seagrass_biomass,taxa_list,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
seagrass_biomass,taxa_list,table_id,The observation's table of origin.,text,NA,NA,NA,retired
seagrass_density,cover_sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_density,cover_sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_density,cover_sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_density,macro_invert_sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_density,macro_invert_sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_density,macro_invert_sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_density,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_density,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_density,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_density,shoot_count_sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_density,shoot_count_sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_density,shoot_count_sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_density,taxa_list,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
seagrass_density,taxa_list,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
seagrass_density,taxa_list,table_id,The observation's table of origin.,text,NA,NA,NA,retired
seagrass_epifauna,epifauna_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_epifauna,epifauna_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_epifauna,epifauna_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_epifauna,macrophyte_mass_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_epifauna,macrophyte_mass_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_epifauna,macrophyte_mass_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_epifauna,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_epifauna,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_epifauna,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_epifauna,sieve_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
seagrass_epifauna,sieve_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
seagrass_epifauna,sieve_data,table_id,The observation's table of origin.,text,NA,NA,NA,retired
seagrass_epifauna,taxa_list,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
seagrass_epifauna,taxa_list,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
seagrass_epifauna,taxa_list,table_id,The observation's table of origin.,text,NA,NA,NA,retired
seagrass_macroalgae,sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_macroalgae,sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_macroalgae,sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_macroalgae,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_macroalgae,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_macroalgae,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_shoots,blade_measurement_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_shoots,sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
seagrass_shoots,sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
seagrass_shoots,sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,retired
seagrass_shoots,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_shoots,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_shoots,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
seagrass_shoots,sheath_and_epibiont_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
seagrass_shoots,taxa_list,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
seagrass_shoots,taxa_list,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
seagrass_shoots,taxa_list,table_id,The observation's table of origin.,text,NA,NA,NA,retired
sediment_organic_matter,sample_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
sediment_organic_matter,sample_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
sediment_organic_matter,sample_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
sediment_organic_matter,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
sediment_organic_matter,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
sediment_organic_matter,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
sediment_organic_matter,taxa_list,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,retired
sediment_organic_matter,taxa_list,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,retired
sediment_organic_matter,taxa_list,table_id,The observation's table of origin.,text,NA,NA,NA,retired
visual_census,fish_survey_data,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
visual_census,fish_survey_data,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
visual_census,fish_survey_data,table_id,The observation's table of origin.,text,NA,NA,NA,active
visual_census,sample_metadata,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
visual_census,sample_metadata,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
visual_census,sample_metadata,table_id,The observation's table of origin.,text,NA,NA,NA,active
visual_census,taxa_list,submission_id,The submission ID represents the unique time that the data was submitted to MarineGEO.,text,NA,NA,NA,active
visual_census,taxa_list,protocol_id,The observation's MarineGEO protocol of origin,text,NA,NA,NA,active
visual_census,taxa_list,table_id,The observation's table of origin.,text,NA,NA,NA,active
